,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,binned
500,75598-12900,1B,Brandon,Brandon Belt,Belt,11.5,17.0,3500,SF@LAD,SF,LAD,IL,Illness,,,,C/1B/UTIL,
501,75598-52147,OF/3B,Kris,Kris Bryant,Bryant,7.949999809265137,16.0,3500,WSH@COL,COL,WSH,IL,Back,,,0.0,3B/OF/UTIL,
502,75598-52179,SS,J.P.,J.P. Crawford,Crawford,12.069565482761549,23.0,3500,SEA@HOU,SEA,HOU,,,,,5.0,SS/UTIL,
503,75598-60655,SS,Willy,Willy Adames,Adames,11.26086956521739,23.0,3500,CIN@MIL,MIL,CIN,,,,,2.0,SS/UTIL,
504,75598-79125,OF,Kyle,Kyle Tucker,Tucker,10.047826352326766,23.0,3500,SEA@HOU,HOU,SEA,,,,,6.0,OF/UTIL,
505,75598-68544,3B,Matt,Matt Chapman,Chapman,8.204166412353516,24.0,3400,NYY@TOR,TOR,NYY,,,,,6.0,3B/UTIL,
506,75598-52187,1B,Ji-Man,Ji-Man Choi,Choi,11.026666259765625,15.0,3400,TB@OAK,TB,OAK,IL,Elbow,,,,C/1B/UTIL,
508,75598-108450,2B/OF,Tommy,Tommy Edman,Edman,11.95714314778646,21.0,3400,STL@KC,STL,KC,,,,,1.0,2B/OF/UTIL,
509,75598-102400,OF,Julio,Julio Rodriguez,Rodriguez,9.977272727272728,22.0,3300,SEA@HOU,SEA,HOU,,,,,6.0,OF/UTIL,
510,75598-82654,SS,Bo,Bo Bichette,Bichette,8.570833206176758,24.0,3300,NYY@TOR,TOR,NYY,,,,,2.0,SS/UTIL,
511,75598-52158,2B/SS,Trevor,Trevor Story,Story,7.7277781168619795,18.0,3300,LAA@BOS,BOS,LAA,,,,,1.0,2B/SS/UTIL,
512,75598-13792,OF/2B,Kike,Kike Hernandez,Hernandez,8.6772724498402,22.0,3300,LAA@BOS,BOS,LAA,,,,,6.0,2B/OF/UTIL,
513,75598-85504,2B/OF,Brandon,Brandon Lowe,Lowe,7.982608961022419,23.0,3300,TB@OAK,TB,OAK,,,,,,2B/OF/UTIL,
514,75598-12113,3B,Josh,Josh Donaldson,Donaldson,7.990909229625355,22.0,3300,NYY@TOR,NYY,TOR,,,,,5.0,3B/UTIL,
515,75598-82536,OF,Cedric,Cedric Mullins,Mullins,9.408695386803668,23.0,3200,MIN@BAL,BAL,MIN,,,,,1.0,OF/UTIL,
516,75598-12919,2B/SS,Jose,Jose Iglesias,Iglesias,7.05000008477105,18.0,3200,WSH@COL,COL,WSH,,,,,9.0,2B/SS/UTIL,
518,75598-54068,OF,Hunter,Hunter Renfroe,Renfroe,9.342856997535344,21.0,3200,CIN@MIL,MIL,CIN,,,,,6.0,OF/UTIL,
519,75598-52176,1B/2B,Max,Max Muncy,Muncy,7.944999694824219,20.0,3200,SF@LAD,LAD,SF,,,,,,C/1B/2B/UTIL,
520,75598-52178,3B,Maikel,Maikel Franco,Franco,7.424999872843425,24.0,3200,WSH@COL,WSH,COL,,,,,,3B/UTIL,
521,75598-21609,OF,Christian,Christian Yelich,Yelich,9.790908813476562,22.0,3200,CIN@MIL,MIL,CIN,,,,,3.0,OF/UTIL,
522,75598-21633,3B/SS,Eugenio,Eugenio Suarez,Suarez,9.622727134011008,22.0,3200,SEA@HOU,SEA,HOU,,,,,4.0,3B/SS/UTIL,
523,75598-13487,OF,Tommy,Tommy Pham,Pham,8.65,20.0,3200,CIN@MIL,CIN,MIL,,,,,3.0,OF/UTIL,
525,75598-73023,OF,Teoscar,Teoscar Hernandez,Hernandez,10.34999974568685,6.0,3200,NYY@TOR,TOR,NYY,IL,Oblique,,,0.0,OF/UTIL,
